streetAddress,suburb,postcode,bedrooms,propertyType,price
101/54 Mernda Village Drive,Mernda,3754,2,apartment,"$340,000 "
362 Rodier Street,Ballarat East,3350,3,house,"$330,000 "
107/201 High St,Prahran,3181,1,apartment,"$320,000 "
110 Thomas Street,Brighton East,3187,3,house,Contact agent
102/90 Epping Road,Epping,3076,1,apartment,"$278,000 "
501/50 Barry Street,Carlton,3053,1,apartment,"$172,500 "
54 Hughes Street,Malvern East,3145,4,house,"$1,900,000 "
58 McPherson Street,Essendon,3040,4,house,"$1,750,000 "
6 Mulga Lane,Waterways,3195,3,house,"$1,699,000 "
3 Primrose Street,Moonee Ponds,3039,3,house,"$1,575,000 "
48-50 Arundel Road,Park Orchards,3114,6,house,"$1,550,000 "
25 Macpherson Street,Carlton North,3054,3,house,"$1,385,000 "
5/55 Royal Avenue,Sandringham,3191,3,townhouse,"$1,340,000 "
33A Bowen Road,Doncaster East,3109,4,house,"$1,308,000 "
49 Lord Street,Richmond,3121,3,house,"$1,300,000 "
2/633-635 Hampton St,Brighton,3186,3,townhouse,"$1,200,000 "
432 Balwyn Road,Balwyn North,3104,3,house,"$1,200,000 "
1/3 Asling Street,Brighton,3186,3,unit,"$1,160,000 "
20 Fairview Drive,Cheltenham,3192,4,townhouse,"$1,150,000 "
17 Evesham Road,Cheltenham,3192,3,house,"$1,105,000 "
73 Church Road,Doncaster,3108,3,house,"$1,100,000 "
3/37A Canterbury Road,Toorak,3142,2,house,"$1,060,000 "
57 Winchester Street,Moonee Ponds,3039,2,house,"$1,040,000 "
75 Benkel Avenue,Cheltenham,3192,4,house,"$1,000,000 "
9A Winsome Street,Mentone,3194,3,townhouse,"$971,500 "
27 Patricia Loop,Keysborough,3173,4,house,"$955,000 "
